Pal_ID	Ide_ID	Ssu_ID	Ptr_ID	Pag_ID	Peu_ID	Pde_ID
Palv1-30828	Ide2-23004	EVM0037593	Potri.006G277800	PAxG06Gg0256200	Peu2-21193	Pde06A000310
Palv1-30829	Ide2-23002	EVM0031674	Potri.006G277700	PAxG06Gg0256100	Peu2-21194	Pde06A000320
Palv1-30830	Ide2-23001	EVM0037857	Potri.006G277500	PAxG06Gg0256000	Peu2-21195	Pde06A000330
Palv1-30831	Ide2-23000	EVM0033965	Potri.006G277400	PAxG06Gg0255900	Peu2-21196	Pde06A000340
Palv1-30832	-	EVM0017993	-	PAxG06Gg0255800	Peu2-21197	-
Palv1-30833	Ide2-22998	EVM0041082	Potri.006G277300	-	Peu2-21198	-
Palv1-30834	Ide2-22997	EVM0007845	Potri.006G277200	PAxG06Gg0255700	Peu2-21199	Pde06A000370
Palv1-30835	Ide2-22996	EVM0013635	Potri.006G277100	PAxG06Gg0255600	Peu2-21200	Pde06A000380
Palv1-30836	Ide2-22995	EVM0030330	Potri.006G277000	PAxG06Gg0255500	Peu2-21201	Pde06A000390
Palv1-30837	Ide2-22994	EVM0012403	Potri.006G276900	PAxG06Gg0255200	Peu2-21202	Pde06A000410
Palv1-30838	-	-	-	-	-	-
Palv1-30839	-	-	-	-	-	-
Palv1-30840	Ide2-22993	EVM0011441	Potri.006G276600	PAxG06Gg0254900	Peu2-21203	Pde06A000430
Palv1-30841	Ide2-22992	-	Potri.006G276500	PAxG06Gg0254800	Peu2-21204	Pde06A000450
Palv1-30842	Ide2-22991	EVM0007702	Potri.006G276400	PAxG06Gg0254700	Peu2-21205	Pde06A000460
Palv1-30843	Ide2-22990	EVM0002957	Potri.006G276300	PAxG06Gg0254500	Peu2-21206	Pde06A000470
Palv1-30844	Ide2-22989	EVM0002771	Potri.006G276200	-	-	Pde06A000480
Palv1-30845	Ide2-22988	EVM0039299	Potri.006G276100	PAxG06Gg0254400	Peu2-21207	Pde06A000490
Palv1-30846	-	-	-	-	-	-
Palv1-30847	Ide2-22987	EVM0021849	Potri.006G275900	PAxG06Gg0254300	Peu2-21208	Pde06A000500
Palv1-30848	-	-	-	-	-	-
Palv1-30849	-	-	-	-	-	-
Palv1-30850	Ide2-22981	EVM0006612	Potri.006G275700	-	-	Pde06A000510
Palv1-30851	Ide2-22980	EVM0033027	Potri.006G275600	PAxG06Gg0254000	Peu2-21223	-
Palv1-30852	Ide2-22979	EVM0021062	Potri.006G275500	-	-	Pde06A000520
Palv1-30853	Ide2-22978	EVM0001514	Potri.006G275400	PAxG06Gg0253900	Peu2-21221	Pde06A000530
Palv1-30854	Ide2-22977	EVM0021538	Potri.006G275300	PAxG06Gg0253800	Peu2-21220	Pde06A000540
Palv1-30855	Ide2-22976	EVM0039252	Potri.006G275200	PAxG06Gg0253700	Peu2-21219	Pde06A000550
Palv1-30856	Ide2-22975	EVM0038871	Potri.006G275100	PAxG06Gg0253600	Peu2-21218	Pde06A000560
Palv1-30857	-	-	-	-	-	-
Palv1-30858	Ide2-22974	EVM0038590	Potri.006G275000	PAxG06Gg0253500	Peu2-21217	Pde06A000570
Palv1-30859	Ide2-22972	EVM0006000	Potri.006G274800	PAxG06Gg0253400	-	Pde06A000590
Palv1-30860	Ide2-22970	EVM0007850	Potri.006G274700	PAxG06Gg0253200	-	Pde06A000600
Palv1-30861	Ide2-22969	-	Potri.006G274600	PAxG06Gg0253100	Peu2-21212	Pde06A000610
Palv1-30862	-	-	-	-	Peu2-21211	-
Palv1-30863	-	-	Potri.006G273733	-	-	Pde06A000630
Palv1-30864	-	-	-	PAxG06Gg0253000	-	Pde06A000640
Palv1-30865	-	EVM0010796	-	-	-	-
Palv1-30866	Ide2-22966	EVM0031484	Potri.006G273400	PAxG06Gg0252800	Peu2-21225	Pde06A000660
Palv1-30867	Ide2-22965	EVM0002648	Potri.006G273300	PAxG06Gg0252700	Peu2-21226	Pde06A000670
Palv1-30868	-	EVM0016790	Potri.006G273200	PAxG06Gg0252600	Peu2-21227	Pde06A000680
Palv1-30869	-	-	-	-	-	-
Palv1-30870	Ide2-22959	-	Potri.006G273100	PAxG06Gg0252500	Peu2-21228	Pde06A000690
Palv1-30871	Ide2-23973	EVM0018792	-	PAxG06Gg0252400	Peu2-21229	Pde06A000700
Palv1-30872	Ide2-22957	EVM0037219	Potri.006G272900	PAxG06Gg0252300	Peu2-21230	Pde06A000710
Palv1-30873	Ide2-22955	EVM0012303	Potri.006G272800	PAxG06Gg0251900	Peu2-21231	Pde06A000740
Palv1-30874	Ide2-22954	EVM0009745	Potri.006G272700	PAxG06Gg0251800	Peu2-21232	Pde06A000750
Palv1-30875	-	-	-	PAxG06Gg0251600	Peu2-21233	-
Palv1-30876	-	-	-	-	-	-
Palv1-30877	-	EVM0002015	Potri.006G272500	PAxG06Gg0251500	Peu2-21234	Pde06A000780
Palv1-30878	Ide2-22953	EVM0019200	Potri.006G272400	-	Peu2-21235	Pde06A000790
Palv1-30879	-	-	-	-	-	-
Palv1-30880	-	-	-	-	-	Pde06A000830
Palv1-30881	-	-	Potri.006G271692	-	Peu2-21209	-
Palv1-30882	-	-	-	-	-	-
Palv1-30883	-	-	-	-	-	-
Palv1-30884	-	-	-	-	-	Pde06A000840
Palv1-30885	-	-	-	-	-	-
Palv1-30886	-	-	-	-	-	-
Palv1-30887	-	-	-	-	-	-
Palv1-30888	-	-	-	-	Peu2-21239	-
Palv1-30889	-	-	-	PAxG06Gg0251100	Peu2-21240	-
Palv1-30890	-	-	-	-	-	Pde06A000880
Palv1-30891	Ide2-22951	EVM0040382	Potri.006G270900	PAxG06Gg0250800	Peu2-21242	Pde06A000890
Palv1-30892	-	EVM0030167	Potri.006G270700	-	Peu2-21243	Pde06A000900
Palv1-30893	Ide2-22950	-	Potri.006G270600	PAxG06Gg0250600	Peu2-21244	Pde06A000910
Palv1-30894	Ide2-22949	EVM0030545	Potri.006G270500	PAxG06Gg0250500	Peu2-21245	Pde06A000920
Palv1-30895	Ide2-22947	-	Potri.006G268000	PAxG06Gg0249400	Peu2-21246	Pde06A000970
Palv1-30896	Ide2-22946	EVM0005966	Potri.006G267900	PAxG06Gg0249300	Peu2-21247	Pde06A000980
Palv1-30897	Ide2-22945	EVM0029714	Potri.006G267800	-	Peu2-21248	Pde06A000990
Palv1-30898	Ide2-22944	EVM0018425	Potri.006G267700	PAxG06Gg0249100	Peu2-21249	Pde06A001010
Palv1-30899	Ide2-22943	EVM0041738	Potri.006G267600	PAxG06Gg0249000	Peu2-21251	Pde06A001020
Palv1-30900	Ide2-22935	EVM0034729	Potri.006G267500	PAxG06Gg0248900	Peu2-21252	Pde06A001030
Palv1-30901	Ide2-22934	-	Potri.006G267400	PAxG06Gg0248700	Peu2-21253	Pde06A001040
Palv1-30902	Ide2-22933	EVM0013899	Potri.006G267300	PAxG06Gg0248600	Peu2-21254	Pde06A001050
Palv1-30903	-	-	-	-	Peu2-21255	-
Palv1-30904	Ide2-22932	-	Potri.006G267000	PAxG06Gg0248500	Peu2-21256	Pde06A001100
Palv1-30905	Ide2-22929	EVM0012282	Potri.006G266900	PAxG06Gg0248400	Peu2-21258	Pde06A001110
Palv1-30906	Ide2-22927	EVM0002021	Potri.006G266800	-	Peu2-21259	Pde06A001130
Palv1-30907	Ide2-22926	-	Potri.006G266600	PAxG06Gg0248100	Peu2-21261	Pde06A001150
Palv1-30908	-	-	-	-	-	-
Palv1-30909	Ide2-22925	EVM0036656	Potri.006G266500	PAxG06Gg0247800	Peu2-21262	Pde06A001160
Palv1-30910	Ide2-22924	EVM0012689	Potri.006G266400	-	Peu2-21263	-
Palv1-30911	Ide2-22923	EVM0035089	Potri.006G266300	PAxG06Gg0247700	Peu2-21264	Pde06A001170
Palv1-30912	Ide2-22921	EVM0031709	Potri.006G266100	PAxG06Gg0247500	Peu2-21266	Pde06A001200
Palv1-30913	Ide2-22920	-	Potri.006G266000	PAxG06Gg0247400	Peu2-21269	-
Palv1-30914	Ide2-22919	EVM0023041	Potri.006G265900	PAxG06Gg0247300	Peu2-21270	Pde06A001210
Palv1-30915	Ide2-22918	EVM0003105	Potri.006G265700	PAxG06Gg0247100	Peu2-21271	Pde06A001230
Palv1-30916	Ide2-22916	EVM0012629	Potri.006G265500	PAxG06Gg0247000	Peu2-21273	Pde06A001240
Palv1-30917	Ide2-22915	EVM0003089	Potri.006G265400	-	Peu2-21274	Pde06A001250
Palv1-30918	Ide2-22914	EVM0034813	Potri.006G265300	PAxG06Gg0246900	Peu2-21275	Pde06A001260
Palv1-30919	-	EVM0001438	-	-	-	-
Palv1-30920	-	-	-	-	-	Pde06A001280
Palv1-30921	Ide2-22913	EVM0037646	Potri.006G265100	PAxG06Gg0246800	Peu2-21277	Pde06A001290
Palv1-30922	Ide2-22912	EVM0018166	Potri.006G264900	-	Peu2-21278	Pde06A001310
Palv1-30923	Ide2-22911	EVM0018634	Potri.006G264800	PAxG06Gg0246600	Peu2-21279	Pde06A001330
Palv1-30924	Ide2-22910	-	Potri.006G264700	PAxG06Gg0246500	Peu2-21280	Pde06A001340
Palv1-30925	Ide2-22909	EVM0013508	Potri.006G264600	-	Peu2-21281	-
Palv1-30926	Ide2-22908	EVM0036232	Potri.006G264500	PAxG06Gg0246400	Peu2-21282	Pde06A001350
Palv1-30927	-	-	-	-	-	-
Palv1-30928	Ide2-22907	-	Potri.006G264300	PAxG06Gg0246300	Peu2-21283	Pde06A001360
Palv1-30929	-	-	-	PAxG06Gg0246200	-	-
Palv1-30930	Ide2-22905	-	Potri.006G264000	PAxG06Gg0246100	Peu2-21285	Pde06A001390
Palv1-30931	-	-	Potri.006G263900	PAxG06Gg0246000	Peu2-21286	-
Palv1-30932	Ide2-22904	-	Potri.006G263800	PAxG06Gg0245800	-	Pde06A001400
Palv1-30933	Ide2-22903	-	Potri.006G263700	PAxG06Gg0245700	Peu2-21288	Pde06A001410
Palv1-30934	Ide2-22902	-	Potri.006G263600	PAxG06Gg0245600	Peu2-21289	Pde06A001420
Palv1-30935	Ide2-22901	EVM0038929	Potri.006G263500	PAxG06Gg0245500	Peu2-21290	Pde06A001430
Palv1-30936	Ide2-22900	EVM0009064	Potri.006G263400	PAxG06Gg0245300	Peu2-21291	Pde06A001440
Palv1-30937	-	-	-	-	-	Pde06A001450
Palv1-30938	Ide2-22899	EVM0006682	Potri.006G263300	PAxG06Gg0245100	Peu2-21292	Pde06A001460
Palv1-30939	Ide2-22898	EVM0017256	Potri.006G263200	PAxG06Gg0244800	Peu2-21293	Pde06A001470
Palv1-30940	Ide2-22897	EVM0017728	Potri.006G263100	PAxG06Gg0244700	Peu2-21294	Pde06A001480
Palv1-30941	Ide2-22896	EVM0001977	Potri.006G263000	PAxG06Gg0244600	Peu2-21295	Pde06A001490
Palv1-30942	Ide2-22894	EVM0038676	Potri.006G262800	PAxG06Gg0244500	Peu2-21297	Pde06A001510
Palv1-30943	Ide2-22893	EVM0031948	Potri.006G262700	PAxG06Gg0244400	Peu2-21298	Pde06A001520
Palv1-30944	Ide2-22892	EVM0006454	Potri.006G262600	PAxG06Gg0244200	Peu2-21299	Pde06A001530
Palv1-30945	-	EVM0032555	Potri.006G262500	PAxG06Gg0244000	Peu2-21300	Pde06A001540
Palv1-30946	Ide2-22891	EVM0002317	Potri.006G262300	PAxG06Gg0243800	Peu2-21303	Pde06A001560
Palv1-30947	Ide2-22890	EVM0014170	Potri.006G262200	PAxG06Gg0243700	Peu2-21304	Pde06A001580
Palv1-30948	Ide2-22889	-	-	-	-	Pde06A001590
Palv1-30949	Ide2-22888	EVM0019985	Potri.006G262100	-	Peu2-21306	Pde06A001600
Palv1-30950	-	-	Potri.006G262001	-	Peu2-21307	Pde06A001610
Palv1-30951	-	-	-	-	-	-
Palv1-30952	Ide2-22887	-	Potri.006G261800	PAxG06Gg0243600	Peu2-21309	Pde06A001620
Palv1-30953	Ide2-22886	EVM0011320	Potri.006G261700	PAxG06Gg0243400	Peu2-21310	Pde06A001630
Palv1-30954	-	-	-	-	-	-
Palv1-30955	Ide2-22884	EVM0002139	Potri.006G261500	PAxG06Gg0243100	Peu2-21311	Pde06A001650
Palv1-30956	Ide2-22883	EVM0037144	Potri.006G261300	PAxG06Gg0243000	Peu2-21312	Pde06A001660
Palv1-30957	-	-	-	-	Peu2-21313	-
Palv1-30958	Ide2-22882	EVM0016004	Potri.006G261200	PAxG06Gg0242800	Peu2-21314	Pde06A001680
Palv1-30959	-	-	-	-	-	-
Palv1-30960	Ide2-22880	EVM0005408	Potri.006G260200	PAxG06Gg0242500	Peu2-21315	Pde06A001790
Palv1-30961	Ide2-22879	EVM0038827	Potri.006G260100	PAxG06Gg0242400	Peu2-21316	Pde06A001800
Palv1-30962	Ide2-22878	EVM0025268	Potri.006G260000	PAxG06Gg0242300	-	Pde06A001820
Palv1-30963	Ide2-22877	EVM0040095	Potri.006G259700	PAxG06Gg0242200	Peu2-21317	Pde06A001830
Palv1-30964	Ide2-22876	EVM0023329	Potri.006G259600	PAxG06Gg0242100	Peu2-21318	Pde06A001840
Palv1-30965	Ide2-22875	EVM0001400	Potri.006G259500	PAxG06Gg0242000	Peu2-21319	Pde06A001850
Palv1-30966	-	EVM0001727	Potri.006G259400	PAxG06Gg0241900	Peu2-21320	Pde06A001860
Palv1-30967	Ide2-22874	EVM0025617	Potri.006G259300	PAxG06Gg0241400	Peu2-21321	Pde06A001870
Palv1-30968	Ide2-22873	EVM0018481	Potri.006G259200	PAxG06Gg0241200	Peu2-21322	Pde06A001880
Palv1-30969	Ide2-22871	EVM0040614	Potri.006G258900	PAxG06Gg0241000	Peu2-21326	Pde06A001920
Palv1-30970	Ide2-22870	EVM0013946	Potri.006G258800	PAxG06Gg0240900	Peu2-21327	Pde06A001930
Palv1-30971	Ide2-22869	EVM0014802	Potri.006G258700	PAxG06Gg0240800	Peu2-21328	Pde06A001940
Palv1-30972	Ide2-22868	EVM0013435	Potri.006G258600	PAxG06Gg0240700	Peu2-21329	Pde06A001950
Palv1-30973	Ide2-22867	EVM0007730	Potri.006G258550	PAxG06Gg0240500	-	Pde06A001960
Palv1-30974	-	-	Potri.006G258500	-	-	-
Palv1-30975	Ide2-22866	EVM0006863	Potri.006G258300	PAxG06Gg0240400	Peu2-21330	Pde06A001970
Palv1-30976	Ide2-22864	-	-	PAxG06Gg0240300	-	-
Palv1-30977	-	-	-	PAxG06Gg0240200	Peu2-21331	Pde06A002000
Palv1-30978	Ide2-22861	EVM0015172	Potri.006G257900	PAxG06Gg0240100	Peu2-21332	Pde06A002020
Palv1-30979	-	EVM0028506	Potri.006G257800	PAxG06Gg0240000	Peu2-21333	Pde06A002030
Palv1-30980	-	EVM0002907	Potri.006G257700	PAxG06Gg0239900	Peu2-21334	Pde06A002040
Palv1-30981	Ide2-22860	EVM0025412	Potri.006G257600	-	Peu2-21335	Pde06A002050
Palv1-30982	-	-	-	-	Peu2-21336	-
Palv1-30983	Ide2-22858	EVM0033208	Potri.006G257400	PAxG06Gg0239700	Peu2-21337	Pde06A002060
Palv1-30984	-	-	-	-	-	-
Palv1-30985	-	-	-	-	-	-
Palv1-30986	Ide2-22857	EVM0021518	Potri.006G257200	-	Peu2-21338	Pde06A002070
Palv1-30987	Ide2-22856	-	Potri.006G257100	-	Peu2-21339	Pde06A002080
Palv1-30988	Ide2-22855	EVM0006722	Potri.006G257000	PAxG06Gg0239400	Peu2-21340	Pde06A002090
Palv1-30989	Ide2-22852	EVM0015813	Potri.006G256801	PAxG06Gg0239200	Peu2-21342	Pde06A002110
Palv1-30990	Ide2-22848	EVM0031661	Potri.006G256600	PAxG06Gg0239100	Peu2-21344	Pde06A002130
Palv1-30991	Ide2-22846	EVM0031570	Potri.006G256500	PAxG06Gg0239000	Peu2-21345	Pde06A002150
Palv1-30992	Ide2-22844	-	Potri.006G256400	PAxG06Gg0238900	Peu2-21347	Pde06A002160
Palv1-30993	-	-	-	-	-	-
Palv1-30994	Ide2-22843	EVM0038209	Potri.006G256300	PAxG06Gg0238800	Peu2-21348	Pde06A002170
Palv1-30995	Ide2-22842	EVM0034339	Potri.006G256200	PAxG06Gg0238700	Peu2-21349	Pde06A002180
Palv1-30996	Ide2-22840	EVM0028253	Potri.006G256000	PAxG06Gg0238500	Peu2-21352	Pde06A002190
Palv1-30997	Ide2-22839	EVM0039336	Potri.006G255900	PAxG06Gg0238400	Peu2-21353	Pde06A002200
Palv1-30998	-	-	-	-	-	-
Palv1-30999	Ide2-22838	EVM0038203	Potri.006G255800	PAxG06Gg0238300	Peu2-21354	Pde06A002210
Palv1-31000	Ide2-22837	EVM0025226	Potri.006G255700	PAxG06Gg0238200	Peu2-21355	Pde06A002220
Palv1-31001	Ide2-22836	EVM0019999	Potri.006G255600	PAxG06Gg0238100	Peu2-21356	Pde06A002230
Palv1-31002	-	-	-	-	-	-
Palv1-31003	Ide2-22835	EVM0028216	Potri.006G255500	PAxG06Gg0238000	Peu2-21357	Pde06A002240
Palv1-31004	Ide2-22834	EVM0002293	Potri.006G255400	PAxG06Gg0237900	Peu2-21358	Pde06A002250
Palv1-31005	Ide2-22832	EVM0000520	Potri.006G255200	PAxG06Gg0237800	Peu2-21360	Pde06A002280
Palv1-31006	Ide2-22831	EVM0037062	Potri.006G255100	PAxG06Gg0237700	Peu2-21361	Pde06A002290
Palv1-31007	Ide2-22830	EVM0039709	Potri.006G255000	PAxG06Gg0237500	Peu2-21362	Pde06A002300
Palv1-31008	Ide2-22829	EVM0005865	Potri.006G254900	PAxG06Gg0237400	Peu2-21363	Pde06A002310
Palv1-31009	Ide2-22827	EVM0030381	Potri.006G254700	-	Peu2-21365	Pde06A002330
Palv1-31010	Ide2-22826	-	-	PAxG06Gg0237000	-	-
Palv1-31011	-	-	-	-	-	-
Palv1-31012	-	-	-	-	-	-
Palv1-31013	Ide2-24148	EVM0018033	Potri.006G254600	-	Peu2-21366	Pde06A002340
Palv1-31014	Ide2-22825	EVM0010608	Potri.006G254500	-	Peu2-21367	-
Palv1-31015	Ide2-22824	EVM0003334	Potri.006G254400	PAxG18Gg0022600	Peu2-21368	Pde06A002350
Palv1-31016	Ide2-22823	EVM0016897	Potri.006G254300	PAxG06Gg0236900	Peu2-21369	Pde06A002360
Palv1-31017	Ide2-22822	EVM0032982	Potri.006G254200	-	Peu2-21370	Pde06A002370
Palv1-31018	Ide2-22821	EVM0006909	Potri.006G254100	PAxG06Gg0236800	Peu2-21371	Pde06A002380
Palv1-31019	Ide2-22820	EVM0022944	Potri.006G254000	PAxG06Gg0236700	Peu2-21372	Pde06A002390
Palv1-31020	Ide2-22819	EVM0005538	Potri.006G253900	PAxG06Gg0236600	Peu2-21373	Pde06A002400
Palv1-31021	Ide2-22818	EVM0013140	Potri.006G253800	-	Peu2-21374	Pde06A002410
Palv1-31022	Ide2-22816	EVM0038304	Potri.006G253500	PAxG06Gg0236500	Peu2-21375	Pde06A002430
Palv1-31023	Ide2-22815	EVM0007264	Potri.006G253400	-	Peu2-21376	Pde06A002440
Palv1-31024	Ide2-22812	EVM0026591	Potri.006G253100	PAxG06Gg0236300	Peu2-21378	Pde06A002470
Palv1-31025	-	-	Potri.006G252800	PAxG06Gg0236000	Peu2-21379	Pde06A002500
Palv1-31026	Ide2-24160	-	Potri.006G252666	-	Peu2-31537	-
Palv1-31027	Ide2-22810	-	Potri.006G252600	-	Peu2-21380	Pde06A002510
Palv1-31028	-	-	-	-	-	-
Palv1-31029	Ide2-22808	EVM0001703	Potri.006G252300	PAxG06Gg0235600	Peu2-21383	Pde06A002560
Palv1-31030	Ide2-22806	EVM0003785	Potri.006G252200	PAxG06Gg0235500	Peu2-21385	Pde06A002570
Palv1-31031	Ide2-22805	EVM0035383	Potri.006G252100	PAxG06Gg0235400	Peu2-21386	Pde06A002580
Palv1-31032	Ide2-22804	EVM0014104	Potri.006G252000	PAxG06Gg0235300	Peu2-21387	Pde06A002590
Palv1-31033	Ide2-22803	EVM0030863	Potri.006G251900	PAxG06Gg0235200	Peu2-21388	Pde06A002600
Palv1-31034	Ide2-22802	EVM0012421	Potri.006G251800	PAxG06Gg0235100	Peu2-21389	Pde06A002610
Palv1-31035	Ide2-22801	EVM0005188	Potri.006G251700	PAxG06Gg0235000	Peu2-21391	Pde06A002630
Palv1-31036	Ide2-22800	-	Potri.006G251600	PAxG06Gg0234900	Peu2-21392	Pde06A002640
Palv1-31037	Ide2-22799	EVM0036039	Potri.006G251400	PAxG06Gg0234800	Peu2-21396	Pde06A002650
Palv1-31038	Ide2-22798	EVM0012235	Potri.006G251300	PAxG06Gg0234700	Peu2-21397	Pde06A002660
Palv1-31039	Ide2-22797	EVM0001459	Potri.006G251200	PAxG06Gg0234600	Peu2-21398	Pde06A002670
Palv1-31040	Ide2-22796	-	Potri.006G251100	PAxG06Gg0234500	Peu2-21399	Pde06A002680
Palv1-31041	-	-	Potri.006G251000	PAxG06Gg0234400	-	Pde06A002690
Palv1-31042	Ide2-22794	EVM0031450	Potri.006G250900	PAxG06Gg0234300	Peu2-21400	Pde06A002710
Palv1-31043	Ide2-24175	EVM0022322	Potri.006G250800	PAxG06Gg0234200	Peu2-21401	Pde06A002720
Palv1-31044	Ide2-22793	EVM0023682	Potri.006G250700	PAxG06Gg0234100	Peu2-21402	Pde06A002730
Palv1-31045	Ide2-22792	EVM0017898	Potri.006G250600	PAxG06Gg0234000	Peu2-21403	Pde06A002740
Palv1-31046	Ide2-22791	EVM0002732	Potri.006G250400	PAxG06Gg0233900	Peu2-21404	Pde06A002750
Palv1-31047	Ide2-22790	EVM0032454	Potri.006G250300	-	Peu2-21405	Pde06A002760
Palv1-31048	-	-	Potri.006G250200	PAxG06Gg0233800	Peu2-21406	Pde06A002780
Palv1-31049	Ide2-22787	EVM0036135	Potri.006G250100	PAxG06Gg0233700	Peu2-21407	Pde06A002790
Palv1-31050	-	-	-	-	-	-
Palv1-31051	Ide2-22786	EVM0028197	Potri.006G250000	PAxG06Gg0233500	Peu2-21409	Pde06A002810
Palv1-31052	Ide2-22785	EVM0024924	Potri.006G249900	PAxG06Gg0233400	Peu2-21410	Pde06A002820
Palv1-31053	-	-	-	-	-	-
Palv1-31054	Ide2-22784	EVM0012686	Potri.006G249800	PAxG06Gg0233100	Peu2-21411	Pde06A002840
Palv1-31055	Ide2-22783	EVM0041558	Potri.006G249700	PAxG06Gg0233000	Peu2-21412	Pde06A002870
Palv1-31056	Ide2-22782	EVM0011094	Potri.006G249600	PAxG06Gg0232900	Peu2-21413	Pde06A002880
Palv1-31057	Ide2-22781	EVM0013376	Potri.006G249500	PAxG06Gg0232800	Peu2-21414	Pde06A002890
Palv1-31058	Ide2-22780	EVM0015348	Potri.006G249400	-	Peu2-21415	Pde06A002900
Palv1-31059	Ide2-22779	EVM0004102	Potri.006G249300	PAxG06Gg0232700	Peu2-21416	Pde06A002910
Palv1-31060	Ide2-22778	EVM0030924	Potri.006G249200	-	Peu2-21417	Pde06A002920
Palv1-31061	Ide2-22777	EVM0029760	Potri.006G249100	PAxG06Gg0232600	Peu2-21418	Pde06A002930
Palv1-31062	-	-	-	-	Peu2-21419	Pde06A002940
Palv1-31063	Ide2-22776	EVM0013670	Potri.006G249000	PAxG06Gg0232500	Peu2-21420	Pde06A002960
Palv1-31064	Ide2-22775	EVM0030672	Potri.006G248900	PAxG06Gg0232400	Peu2-21421	Pde06A002970
Palv1-31065	Ide2-22773	EVM0036608	Potri.006G248700	PAxG06Gg0232200	Peu2-21423	Pde06A003000
Palv1-31066	Ide2-22772	-	Potri.006G248600	PAxG06Gg0232100	Peu2-21424	Pde06A003010
Palv1-31067	-	-	-	-	-	-
Palv1-31068	Ide2-22770	EVM0017386	Potri.006G248400	PAxG06Gg0231900	Peu2-21426	Pde06A003020
Palv1-31069	Ide2-22769	-	Potri.006G248300	PAxG06Gg0231700	Peu2-21427	Pde06A003030
Palv1-31070	Ide2-22768	EVM0040026	Potri.006G248200	PAxG06Gg0231500	Peu2-21428	Pde06A003050
Palv1-31071	-	-	-	-	-	-
Palv1-31072	Ide2-22767	EVM0039914	Potri.006G248100	PAxG06Gg0231400	Peu2-21429	Pde06A003070
Palv1-31073	Ide2-22766	EVM0020155	Potri.006G248000	PAxG06Gg0231300	Peu2-21430	Pde06A003080
Palv1-31074	Ide2-22765	EVM0031868	Potri.006G247900	PAxG06Gg0231200	Peu2-21431	Pde06A003090
Palv1-31075	-	-	-	-	Peu2-21432	Pde06A003100
Palv1-31076	Ide2-22763	EVM0038175	Potri.006G247700	PAxG06Gg0231000	Peu2-21433	Pde06A003110
